Bug ID,chunk
53451,"Product: JDT
Component: Text
Severity: minor
Priority: P3
Summary: [preferences][templates] 'New/Edit Template' dialog closes dialog on ESC instead of Code Assistant
Resolution: FIXED"
112661,"Product: Platform
Component: Team
Severity: normal
Priority: P2
Summary: [Patch] Comments on Apply Patch support and dialog
Resolution: FIXED"
162005,"Product: Platform
Component: UI
Severity: normal
Priority: P3
Summary: [QuickAccess] Persist previous picks
Resolution: FIXED"
16046,"Product: Platform
Component: Debug
Severity: normal
Priority: P2
Summary: Launch configuration dialog doesn't/can't cancel a launch
Resolution: FIXED"
353814,"Product: PDE
Component: UI
Severity: trivial
Priority: P3
Summary: ExternalModelManager#extractJar - prove for NPE
Resolution: FIXED"
80996,"Product: JDT
Component: UI
Severity: normal
Priority: P3
Summary: [Quick Fix] Incorrect return type of created method
Resolution: FIXED"
21423,"Product: Platform
Component: SWT
Severity: normal
Priority: P2
Summary: GTK : GPF in Shell.setVisible()
Resolution: FIXED"
56870,"Product: JDT
Component: Core
Severity: normal
Priority: P2
Summary: copied file not shown in package explorer / java browser [ccp]
Resolution: FIXED"
56829,"Product: Platform
Component: SWT
Severity: normal
Priority: P1
Summary: CBanner not sized correctly after coolbar wraps
Resolution: FIXED"
64466,"Product: Platform
Component: UI
Severity: normal
Priority: P2
Summary: Workbench preference page does not properly set dialog font
Resolution: FIXED"
363626,"Product: JDT
Component: Core
Severity: critical
Priority: P3
Summary: IcedTea6 1.10.4 crash
Resolution: NOT_ECLIPSE"
329533,"Product: Platform
Component: Search
Severity: normal
Priority: P3
Summary: Keywords is not highlighted in the ""search view""
Resolution: FIXED"
17676,"Product: Platform
Component: Debug
Severity: normal
Priority: P1
Summary: Run menu history menus not updated after organize favorites
Resolution: FIXED"
85260,"Product: JDT
Component: UI
Severity: normal
Priority: P2
Summary: IAE when trying to copy name of TestSuite to clipboard [junit]
Resolution: FIXED"
6510,"Product: JDT
Component: Debug
Severity: normal
Priority: P3
Summary: NPE changing Java Debug Options with active debug target
Resolution: FIXED"
